"Feature","Gain","Cover","Frequency"
"f329",0.00347603640280034,0.00338280869823082,0.000619482731918848
"f17",0.00345787056216721,0.0140104090977957,0.0253471684476795
"f184",0.00340164394639261,0.00915284735757741,0.00531722678230344
"f148",0.00320100474721932,0.00360145979685339,0.00180682463476331
"f431",0.00304642488110217,0.000985141274363947,0.00077435341489856
"f14",0.00292085793128481,0.00902657355177762,0.0185328583965722
"f165",0.00279455051218448,0.00176496810766866,0.000258117804966187
"f66",0.00268132320320281,0.00181570884900517,0.000154870682979712
"f9",0.00260918539946216,0.00966545712024491,0.0198750709823964
"f398",0.00245321070430804,0.00171150377791589,0.00103247121986475
"f332",0.00239596312745142,0.000910611955631624,0.000309741365959424
"f415",0.00235910697738733,0.00109591630322471,0.00392339063548604
"f24",0.00218893910653634,0.00303365164037973,0.00676268649011409
"f55",0.00214009066040326,0.00649720848089348,0.00258117804966187
"f417",0.00212197114451674,0.001823772286139,0.00361364926952661
"f326",0.00200618507453145,0.00165630412697221,0.000412988487945899
"f320",0.00195200256090897,0.00288508501510821,0.00232306024469568
"f409",0.00190323441100335,0.0031350146378424,0.00185844819575654
"f21",0.00187535091019234,0.0064320975578179,0.00753703990501265
"f43",0.00187209455300456,0.00786214176138591,0.0101698415156678
"f281",0.00186352847152757,0.00240238019668004,0.000154870682979712
"f44",0.00182927995053312,0.00682792427432029,0.00991172371070156
"f36",0.00176649883727819,0.00662302217436447,0.015435444736978
"f433",0.00155848219512606,0.00318002770353939,0.00247793092767539
"f378",0.00154497644233566,0.000750654485949566,0.0012389654638377
"f85",0.00150915969241941,0.00287500717225618,0.00113571834185122
"f129",0.00139764776155464,0.00161610432651812,0.000206494243972949
"f346",0.0013401533918813,0.00140767941297381,0.00165195395178359
"f56",0.00132347421228283,0.000225244175938585,0.000412988487945899
"f341",0.00115278150930265,0.00357731804238826,0.00191007175674978
"f309",0.0010781504350335,0.00129648803588382,0.00185844819575654
"f423",0.00106312050724697,0.00335759460546932,0.00397501419647927
"f23",0.00104738371832697,0.00199106963174656,0.00619482731918848
"f427",0.00102624337479766,0.00212957349981616,0.00542047390428992
"f336",0.00101768374245205,0.010898910788507,0.00247793092767539
